model, test_case, trials, image, blocksize_x, blocksize_y, rows, cols, total_pixels, avg_time(us)
GPGPU, baseline, 1000, earth_set/earth-7071-7071.jpg, 32, 32, 7071, 7071, 49999041, 679.895996
GPGPU, baseline, 1000, earth_set/earth-7071-7071.jpg, 32, 1, 7071, 7071, 49999041, 1057.771973
GPGPU, fastsqrt, 1000, earth_set/earth-1250-1250.jpg, 1, 1, 1250, 1250, 1562500, 984.107971
GPGPU, sharedmemory, 100, earth_set/earth-1767-1767.jpg, 32, 4, 1767, 1767, 3122289, 83.290001
GPGPU, fastsqrt, 1000, earth_set/earth-1767-1767.jpg, 1, 1, 1767, 1767, 3122289, 1941.619995
GPGPU, baseline, 1000, earth_set/earth-2500-2500.jpg, 32, 2, 2500, 2500, 6250000, 129.675995
GPGPU, baseline, 1000, earth_set/earth-1250-1250.jpg, 32, 4, 1250, 1250, 1562500, 68.612000
GPGPU, baseline, 1000, earth_set/earth-10000-10000.jpg, 32, 32, 10000, 10000, 100000000, 1303.810059
GPGPU, sharedmemory, 100, earth_set/earth-3535-3535.jpg, 32, 4, 3535, 3535, 12496225, 168.419998
GPGPU, fastsqrt, 1000, earth_set/earth-15000-15000.jpg, 4, 32, 15000, 15000, 225000000, 2847.407959
GPGPU, fastsqrt, 1000, earth_set/earth-441-441.jpg, 32, 1, 441, 441, 194481, 17.973000
GPGPU, baseline, 1000, earth_set/earth-883-883.jpg, 32, 8, 883, 883, 779689, 45.158001
GPGPU, fastsqrt, 1000, earth_set/earth-1767-1767.jpg, 4, 32, 1767, 1767, 3122289, 90.400002
GPGPU, fastsqrt, 1000, earth_set/earth-7071-7071.jpg, 32, 8, 7071, 7071, 49999041, 468.156006
BASE, fastsqrt, 1000, earth_set/earth-15000-15000.jpg, , , 15000, 15000, 225000000, 120762.492188
GPGPU, fastsqrt, 1000, earth_set/earth-15000-15000.jpg, 32, 2, 15000, 15000, 225000000, 2300.295898
GPGPU, fastsqrt, 1000, earth_set/earth-1767-1767.jpg, 22, 22, 1767, 1767, 3122289, 77.834000
GPGPU, fastsqrt, 1000, earth_set/earth-2500-2500.jpg, 32, 4, 2500, 2500, 6250000, 103.738998
GPGPU, baseline, 1000, earth_set/earth-5000-5000.jpg, 32, 1, 5000, 5000, 25000000, 531.802979
GPGPU, baseline, 1000, earth_set/earth-1250-1250.jpg, 32, 2, 1250, 1250, 1562500, 75.733002
